Aspect_ratio,Avg_rating,Budget,Certificate,Country_of_origin,Director,Genres,Language,Production_companies,Release_date,Runtime,Sound_mix,Stars,Title,Writer,critic_reviews,description,id,total_ratings,user_reviews
1.33 : 1,5.7,,,United States,D.W. Griffith,"Short , Drama",None,,"December 2, 1909 (United States)",11min,Silent,"George Nichols , Marion Leonard , Edith Haldeman",The Death Disc: A Story of the Cromwellian Period,,,"During the reign of Oliver Cromwell, Catholic worship is forbidden on pain of death. Three soldiers are arrested as Catholics and condemned to die. Cromwell decides to spare two of them and ...",tt00000843,41,
1.33 : 1,5.0,,,United States,D.W. Griffith,"Short , Drama",,,"March 22, 1909 (United States)",7min,Silent,"Barry O'Moore , Florence Lawrence , Harry Solter",The Deception,,,"Of all the agonies of life, that which is most harrowing is the conviction that we have been deceived where we placed all the trust of love, and this is most apparent to Harry Colton, a youn...",tt00000845,41,
,,,,Mexico,Hermanos Alva,,None,,,,Silent,,Un día en Xochimilco,,,,tt00000846,,
1.33 : 1,5.1,,,United States,D.W. Griffith,"Short , Comedy",,,"December 30, 1909 (United States)",8min,Silent,"Arthur V. Johnson , Marion Leonard , W. Chrystie Miller",The Day After,Mary Pickford,,"Mr. and Mrs. Hilton throw a New Year's Eve party. They agree not to drink the punch themselves, but as guests begin to arrive their resolve weakens, and soon they are both cavorting drunkenl...",tt00000841,66,
,6.0,,,Russia,Vasili Goncharov,"Short , Drama , History",,,"October 6, 1909 (Russia)",,Silent,"A. Slavin , Yelizaveta Uvarova , S. Tarasov",Smert Ioanna Groznogo,,,,tt00000844,13,
,,,,Spain,Fructuós Gelabert,,None,,,,Silent,,De Garraf a Barcelona,,,,tt00000842,,
1.33 : 1,5.6,,Not Rated,United States,,"Short , Comedy",,,"February 15, 1909 (United States)",13min,Silent,"Mack Sennett , Harry Solter , Florence Lawrence",The Curtain Pole,,,"An upper class drawing room. A gentleman breaks the curtain pole and goes in search of a replacement, but he stops into a pub first. He buys a very long pole, and causes havoc everywhere he ...",tt00000840,312,
1.33 : 1,,,,United Kingdom,Theo Frenkel,"Short , Drama",None,,September 1909 (United Kingdom),,Silent,,The Curse of Money,,,An heir wastes his inheritance and is saved from suicide by the Salvation Army.,tt00000839,,
,,,,Portugal,Ernesto de Albuquerque,,None,,,,Silent,,A Cultura do Cacau,,,,tt00000838,,
,4.8,,,Portugal,,,None,,"January 4, 2010 (Portugal)",16min,Silent,"Carlos Leal , Luz Veloso , Nascimento Fernandes",Os Crimes de Diogo Alves,,,Diogo Alves is a Spanish fugitive that comes to the Portuguese capital terrorizing the inhabitants by his cut-throat methods against rich and poor people alike. He attacks the women laundere...,tt00000836,46,
1.33 : 1,,,,United Kingdom,Theo Frenkel,"Short , Drama",None,,November 1909 (United Kingdom),,Silent,,A Coward's Courage,,,A cowardly fireman wins a girl by saving her from fire.,tt00000834,,
1.33 : 1,5.5,,,United States,D.W. Griffith,"Short , Crime",,,"January 18, 1909 (United States)",10min,Silent,"Owen Moore , Marion Leonard , Arthur V. Johnson",The Criminal Hypnotist,D.W. Griffith,,"To a reception there is invited a celebrated professor of hypnotism, and during the evening he obliges with an exhibition of his wonderful powers. Several of the guests are put under the inf...",tt00000837,41,
1.33 : 1,6.6,,G,United States,D.W. Griffith,"Short , Crime , Drama",,,"December 13, 1909 (United States)",14min,Silent,"Frank Powell , Grace Henderson , James Kirkwood",A Corner in Wheat,,9,"An unscrupulous and greedy capitalist speculator decides to corner the wheat market for his own profit, establishing complete control over the markets.",tt00000832,2.3K,26
1.33 : 1,5.1,,,United States,D.W. Griffith,,,,"May 27, 1909 (United States)",10min,Silent,"Owen Moore , Violet Mersereau , Linda Arvidson",The Cricket on the Hearth,,1,"After three years at sea, Edward returns home to find his sweetheart forced into an engagement with a much older man.",tt00000835,134,6
1.33 : 1,6.4,,Not Rated,United States,"D.W. Griffith , (uncredited)","Short , Drama",,,"July 8, 1909 (United States)",14min,Silent,"Frank Powell , Florence Lawrence , Gladys Egan",The Country Doctor,"D.W. Griffith , (uncredited)",4,"While caring for his sick daughter, a doctor is called away to the sickbed of a neighbor. He finds the neighbor gravely ill, and ignores his wife's pleas to come home and care for his own da...",tt00000833,624,11
1.33 : 1,5.3,,,United States,D.W. Griffith,"Short , Crime , Drama",,,"January 28, 1909 (United States)",9min,Silent,"Charles Inslee , Marion Leonard , George Gebhardt",The Cord of Life,D.W. Griffith,,"Antonine, a worthless, good-for-nothing scoundrel, demands money of his cousin Galora, an energetic, provident husband and father. His demands are met with a positive rebuff, and when he bec...",tt00000831,122,
,,,,Spain,,"Short , Drama",None,,,12min,Silent,,Corazón de madre,"José María Bosch , (screenplay) (story)",,,tt00000830,,
1.33 : 1,5.3,,,United States,D.W. Griffith,"Short , Western",,,"September 9, 1909 (United States)",10min,Silent,"James Kirkwood , Marion Leonard , Arthur V. Johnson","Comata, the Sioux",Stanner E.V. Taylor,,"This story of the Black Hills consistently tells of the unrequited love of a Sioux brave for his chief's daughter, and how he premonished the awful results of her ominous marriage with a whi...",tt00000827,84,
1.33 : 1,4.8,,,United States,D.W. Griffith,"Short , Drama",,,"September 13, 1909 (United States)",4min,Silent,"Linda Arvidson , Verner Clarges , Adele DeGarde",The Children's Friend,D.W. Griffith,,"Three little girls fall into a sand pit and can't get out. One of them ties a note around her pet pigeon's neck and releases it. The pigeon flies home, alerting the parents to where the girl...",tt00000825,55,
1.33 : 1,4.7,,,United States,D.W. Griffith,"Short , Drama",,,"July 26, 1909 (United States)",11min,Silent,"James Kirkwood , Henry B. Walthall , Stephanie Longfellow",A Convict's Sacrifice,D.W. Griffith,,"Thanks to a friend, an ex-convict gets a job. He accidentally kills another worker and goes to prison. Later he escapes, but turns himself in so his friend can claim the reward.",tt00000829,58,
1.33 : 1,,,,United States,Edwin S. Porter,"Short , Drama",,,"August 24, 1909 (United States)",,Silent,,A Child of the Forest,Edwin S. Porter,,"The opening scene shows an Indian squaw carrying her sick papoose down the trail to the bank of a stream where she bathes its feverish brow with the cooling water. Despairing of its life, sh...",tt00000824,,
1.33 : 1,5.3,,,United States,D.W. Griffith,"Short , Drama",,,"April 15, 1909 (United States)",11min,Silent,"Florence Lawrence , Charles Inslee , Arthur V. Johnson",Confidence,D.W. Griffith,,"A beautiful romance of a girl from the Golden West. Confidence is the flower grown from the seed of true friendship, watered by the tears of adversity, and often assailed by the blight of ca...",tt00000828,100,
1.33 : 1,4.8,,,United States,D.W. Griffith,"Short , Comedy",,,"December 30, 1909 (United States)",6min,Silent,"Florence Barker , Mack Sennett , Billy Quirk",Choosing a Husband,D.W. Griffith,,"Four bachelors all want to marry Gladys. To test their fidelity she pretends to be away, and when they come to visit, each in turn is met by her pretty younger sister. One by one they fail t...",tt00000826,54,
1.33 : 1,4.9,,,United States,D.W. Griffith,"Comedy , Short",,,"September 13, 1909 (United States)",6min,Silent,"Billy Quirk , Mary Pickford , James Kirkwood",Getting Even,D.W. Griffith,,"The most satisfying and pleasurable sensation experienced is ""getting even,"" especially where one has been held up to ridicule before a jeering mob. Such was the reguerdon of Bud, the Kid of...",tt00000877,92,
,,,,Spain,,,None,,,24min,Silent,,Celos gitanos,,,,tt00000822,,
1.33 : 1,4.8,,,United States,D.W. Griffith,"Short , Drama",,,"October 14, 1909 (United States)",11min,Silent,"Owen Moore , James Kirkwood , Arthur V. Johnson",A Change of Heart,Frank E. Woods,,"Howard Norris, a fortune-spoiled young man, spends his time with a party of reckless youths who are attracted by his freedom with his money, and hence do their best to keep him entertained a...",tt00000823,53,
,,,,,Ricardo de Baños,"Documentary , Short",None,"Ignacio Coyne , Società Italiana Cines",September 1909 (United Kingdom),,Silent,,Campaña del Riff,,,"Short documentary about the Spanish war in Africa, where it's possible to see, among other things, how the Spanish soldiers shot their canons over mount Gurugu, the trenches, etc.",tt00000820,,
1.33 : 1,5.5,,,United States,D.W. Griffith,,,,"March 25, 1909 (United States)",10min,Silent,"Harry Solter , Charles Inslee , Marion Leonard",A Burglar's Mistake,D.W. Griffith,,"Henry is being blackmailed. When the blackmailer breaks into his house, Henry apprehends him at gunpoint and takes the opportunity to rid himself of the blackmailer's threat.",tt00000819,66,
1.33 : 1,4.7,,,United States,D.W. Griffith,"Drama , Short",,,"July 12, 1909 (United States)",11min,Silent,"James Kirkwood , Florence Lawrence , Frank Powell",The Cardinal's Conspiracy,,,A royal woman rejects her arranged marriage. The cardinal hatches a plan: the suitor will shave and change clothes. He arranges with 4 clowns to stage an attack on the princess which he easi...,tt00000821,105,
,,,,Spain,Ignacio Coyne,,None,,,,Silent,,La bocana de Mar Chica,,,Documentary about the Spanish war in Africa.,tt00000814,,
1.33 : 1,,,,United Kingdom,Theo Frenkel,"Short , Crime , Drama",None,,August 1909 (United Kingdom),,Silent,,The Burglar and the Child,,,A burglar kidnaps a girl and frames her father.,tt00000818,,
1.33 : 1,5.0,,,United States,D.W. Griffith,,,,"February 4, 1909 (United States)",11min,Silent,"Harry Solter , George Gebhardt , Florence Lawrence",The Brahma Diamond,D.W. Griffith,,"An unscrupulous tourist plots to steal the famous diamond, ""The Light of the World,"" tricking a young woman into helping him. She is caught and imprisoned, while he prepares to sell the diam...",tt00000815,65,
,,,,Spain,Ignacio Coyne,"Documentary , Short , War",None,,,,Silent,,El blocao Velarde,,,Documentary about the Spanish war in Africa.,tt00000812,,
1.33 : 1,3.9,,,Denmark,Viggo Larsen,"Short , Drama",None,,1909 (Denmark),,Silent,"August Blom , Gudrun Kjerulf , Viggo Larsen",Et budskab til Napoleon paa Elba,,,"After the united powers of Europe had been successful in defeating Napoleon's vast armies, the great Emperor himself was taken prisoner and sent into exile to the Island of Elba, on the coas...",tt00000817,14,
1.33 : 1,,,,United States,J. Searle Dawley,"Short , Drama",,,"November 26, 1909 (United States)",,Silent,"Charles Ogle , Mary Fuller",Bluebeard,,,"From time immemorial Bluebeard has been one of the most fascinating stories of childhood days. Children of all climes have listened breathlessly to every word of its recital, until the chara...",tt00000813,,
1.33 : 1,,,,United Kingdom,Theo Frenkel,"Short , Drama",None,,November 1909 (United Kingdom),,Silent,,The Blind Man,,,A blind man saves a policeman's daughter from kidnappers.,tt00000811,,
,6.2,,,United States,D.W. Griffith,"Short , Western",None,,"May 24, 1910 (Brazil)",,Silent,,Bill Sharkey's Last Game,,,,tt00000809,62,
1.33 : 1,,,,United States,Gilbert M. 'Broncho Billy' Anderson,"Short , Drama",None,,"July 7, 1909 (United States)",,Silent,,The Black Sheep,,,"Daniel Roberts is the father of two youngsters of about the same age, yet vastly different in their moral make-up. Frank is the model ""good child"" of the village, loved by his father and mot...",tt00000810,,
1.33 : 1,,,,United States,Van Dyke Brooke,"Short , Romance",None,,"October 5, 1909 (United States)",,Silent,,Betty's Choice,Van Dyke Brooke,,"Betty Kenyon meets Basil Howard, a country gentleman, who has recently inherited the fertile acres that adjoin the handsome estate of Squire Kenyon. She secretly approves the clean-cut young...",tt00000808,,
,,,,Spain,,"Documentary , Short",None,,,,Silent,,El barranco del lobo,,,"Documentary about the Spanish campaign in the Riff, Morocco.",tt00000804,,
1.33 : 1,,,,Spain,Fructuós Gelabert,"Short , Comedy",None,,,,Silent,"José Coll , Juan Cros , Antonio Gil Varela 'Varillas'",Baño imprevisto,"Fructuós Gelabert , (screenplay) (story)",,,tt00000805,,
1.33 : 1,5.0,,,United States,D.W. Griffith,"Short , Drama",,,"August 12, 1909 (United States)",11min,Silent,"Stephanie Longfellow , Kate Bruce , Henry B. Walthall",The Better Way,Stanner E.V. Taylor,,"Parker is wooed by young Oliver Sylvester, who is loved by her in return. Her all-absorbing dream is of the day when she will become the happy bride of Oliver. Fortune, however, is unkind to...",tt00000807,61,
1.33 : 1,,,,United States,Gilbert M. 'Broncho Billy' Anderson,"Short , Western",None,,"November 20, 1909 (United States)",,Silent,"Gilbert M. 'Broncho Billy' Anderson , John B. O'Brien , Fred Church",The Best Man Wins,Gilbert M. 'Broncho Billy' Anderson,,"Charles Shea, the handsome young foreman of the Bar Z ranch, has won the love of the winsome daughter of his employer, John Graham. Alice and he are engaged to be married when a telegram ann...",tt00000806,,
1.33 : 1,,,,United Kingdom,Theo Frenkel,"Short , Comedy",None,,April 1909 (United Kingdom),,Silent,,The Bailiff and the Dressmakers,,,Girls and beaux hide to foil a landlord and bailiffs.,tt00000802,,
1.33 : 1,4.8,,,United States,D.W. Griffith,"Short , Drama",,,"September 16, 1909 (United States)",11min,Silent,"Frank Powell , Mary Pickford , Kate Bruce",The Broken Locket,D.W. Griffith,,"George Peabody is a young man who has been giving free rein to his inclinations, the principal one being drink. One might have concluded he was lost, but there was the chance which the hand ...",tt00000816,114,
1.33 : 1,,,,Denmark,Viggo Larsen,"Short , Drama",None,,"December 3, 1909 (Denmark)",,Silent,"Svend Bille , Aage Brandt , Gudrun Kjerulf",Barnet som Velgører,,,"Robert Fielding has in his time seen better days, but his carelessness and bad company made him run through the fortune which was left him by his father. Now he walks the streets in rags, be...",tt00000803,,
1.33 : 1,5.4,,,United States,D.W. Griffith,"Short , Drama",,,"May 13, 1909 (United States)",11min,Silent,"Florence Lawrence , Owen Moore , Linda Arvidson",A Baby's Shoe,D.W. Griffith,,"The story tells of the young widowed mother of two children who is forced by extreme poverty to part with one of her children, a baby girl, by placing it in a basket on the door steps of a w...",tt00000801,73,
1.33 : 1,4.5,,,United Kingdom,Theo Frenkel,"Short , Drama",None,,December 1909 (United Kingdom),,Silent,,An Attempt to Smash a Bank,,,A banker's daughter rejects a rich client who then withdraws money to cause a run on the bank.,tt00000798,13,
1.33 : 1,,,,Spain,Francisco Oliver,"Short , Comedy",None,,,,Silent,"Adela Carboné , Juan Catalá , Ana Quijada",Aventuras de Pepín,,,Film based in one of the characters of the Spanish play 'Las de Caín'.,tt00000799,,
1.33 : 1,5.3,,,United States,D.W. Griffith,"Short , Drama",,,"February 25, 1909 (United States)",11min,Silent,"Marion Leonard , Charles Inslee , Barry O'Moore",At the Altar,D.W. Griffith,,"At the Italian boarding house the male boarders were all smitten with the charms of Minnie, the landlady's pretty daughter, but she was of a poetic turn of mind and her soul soared above ple...",tt00000797,153,
,,,,United States,,,None,,,,Silent,,As It Is in Real Life,,,,tt00000796,,
1.33 : 1,5.4,,,United States,D.W. Griffith,"Short , Comedy , Drama",,,"September 30, 1909 (United States)",8min,Silent,"Arthur V. Johnson , Clara T. Bracy , Mary Pickford",The Awakening,Mary Pickford,,"A confirmed bachelor learns that he will inherit his late uncle's fortune only if he marries, which he does reluctantly. Shortly afterward he returns to his bachelor lifestyle but realizes h...",tt00000800,99,
1.33 : 1,4.5,,,Germany,,,None,,"January 21, 1909 (Denmark)",,Silent,,Andreas Hofer,,,,tt00000793,19,
,,,,Denmark,Carl Alstrup,"Short , Drama",None,,"April 14, 1909 (Denmark)",,Silent,"Carl Alstrup , Trine Wulff , Emilie Sannom",Apachepigens hævn,,,,tt00000794,,
1.33 : 1,5.0,,,United States,D.W. Griffith,"Short , Drama",,,"March 22, 1909 (United States)",4min,Silent,"Marion Leonard , Arthur V. Johnson , Adele DeGarde",And a Little Child Shall Lead Them,D.W. Griffith,,"The house divided against itself has been united by the child, as was the case in this story. The dentil of the first horn, at the age of two, left the couple almost inconsolable, and the li...",tt00000792,69,
1.33 : 1,,,,Spain,Narciso Cuyàs,,None,,,,Silent,,Amor heroico,,,,tt00000791,,
1.33 : 1,,,,United States,Van Dyke Brooke,"Short , Drama",None,,"July 31, 1909 (United States)",,Silent,,The Artist's Revenge,,,"Raphael Perkins, a rather shabbily-dressed artist, is seen at work in his studio, his actions betraying a feeling of despair and worry. His wife enters, tries to cheer him up, makes a propos...",tt00000795,,
1.33 : 1,6.2,,,United Kingdom,Walter R. Booth,"Short , Fantasy , Sci-Fi",None,,October 1909 (United Kingdom),11min,Silent,,The Airship Destroyer,"Walter R. Booth , (screenplay)",6,An inventor uses a wireless controlled flying torpedo to destroy enemy airships.,tt00000790,323,8
1.33 : 1,5.0,,,United States,D.W. Griffith,"Action , Short",,,"October 6, 1908 (United States)",13min,Silent,"Charles Inslee , George Gebhardt , Harry Solter",The Zulu's Heart,D.W. Griffith,,"The Zulu chief of the Amatabele tribe has an only daughter who, at the age of four years, dies of fever, and in the opening scene of this Biograph story we find him burying her. Scarcely has...",tt00000789,50,
1.33 : 1,5.8,,,United States,D.W. Griffith,"Action , Short",,,"November 24, 1908 (United States)",11min,Silent,"George Gebhardt , Harry Solter , Linda Arvidson",A Woman's Way,D.W. Griffith,,The pretty daughter of a French-Canadian backwoodsman incites the love of a trapper who is so smitten with the beauty of this wood nymph that he purchases her into marriage from her father. ...,tt00000787,19,
1.33 : 1,7.0,,,Germany,,"Short , Drama",None,,,,Silent,,Wiegenlied,,,,tt00000786,9,
1.33 : 1,,,,United States,Wallace McCutcheon,"Short , Comedy",,,"March 7, 1908 (United States)",,Silent,"D.W. Griffith , Anthony O'Sullivan",The Yellow Peril,,,"With the family of Mr. Phlipp there is employed that wrecker of domestic serenity, a pretty French maid, whose trim figure and cherry lips are simply irresistible. This is all very fine for ...",tt00000788,,
1.33 : 1,5.2,,,United States,D.W. Griffith,"Drama , Short",,,"September 22, 1908 (United States)",9min,Silent,"Arthur V. Johnson , Linda Arvidson , Charles Inslee",Where the Breakers Roar,,,An early Biograph short in which two separate sequences of events collide and the leading man must save his lady from the villain. The first storyline involves a group of young adult beach-g...,tt00000785,55,
1.33 : 1,5.9,,,United States,Wallace McCutcheon,,,,"May 20, 1908 (United States)",,Silent,"Linda Arvidson , D.W. Griffith , Harry Solter",When Knights Were Bold,D.W. Griffith,,,tt00000784,19,
1.33 : 1,7.6,,,United Kingdom,George Albert Smith,"Documentary , Short",,,December 1910 (United States),8min,Silent,"Cameron highlanders' Band , The White Coons",A Visit to the Seaside,,,"A series of shots of activities along the sea front at Brighton southern England. The film is historically important for being the first commercially produced film in natural colour, using d...",tt00000782,18,
1.33 : 1,6.6,,,United States,J. Stuart Blackton,"Short , Adventure , Drama , Romance",,,"August 1, 1908 (United States)",,Silent,,The Viking's Daughter: The Story of the Ancient Norsemen,,,"A Saxon prisoner rescues his Viking's captor's daughter, resulting in his freedom and their marriage.",tt00000781,17,
1.33 : 1,,,,United States,Wallace McCutcheon,,,,,10min,Silent,"Linda Arvidson , D.W. Griffith",When Knighthood Was in Flower,,,"I have a 1916 book ""Film Flashes"",which has an interview with Linda Arvidson and includes a photo attributed to Biograph showing Mrs Griffith, David Griffith,Ann Lorey and Harry Salter in ""W...",tt00000783,,
1.33 : 1,,,,Denmark,Viggo Larsen,,,,"October 3, 1908 (Denmark)",,Silent,"Aage Brandt , Holger-Madsen , Viggo Larsen",Verdens Herkules,,,,tt00000780,,
1.33 : 1,,,,United Kingdom,Theo Frenkel,"Short , Drama",None,,December 1908 (United Kingdom),,Silent,,To the Custody of the Father,,,A maid steals a divorced father's child and takes it to the mother.,tt00000774,,
1.33 : 1,5.7,,,United States,D.W. Griffith,"Action , Short , Romance",,,"October 16, 1908 (United States)",13min,Silent,"Charles Inslee , Harry Solter , Linda Arvidson",The Vaquero's Vow,D.W. Griffith,,"Manuella, a beautiful Mexican girl, is the object of the pure, honest affections of Renaldo, a poor Vaquero, and while she is touched by his tender attentions, she shows a decided preference...",tt00000779,16,
1.33 : 1,5.8,,,Italy,,"Short , Drama",,,December 1908 (Italy),17min,Silent,"Luigi Maggi , Lydia De Roberti , Umberto Mozzato",Gli ultimi giorni di Pompeii,,1,,tt00000776,81,1
1.33 : 1,,,,United States,Edwin S. Porter,"Short , Comedy",,,"December 22, 1908 (United States)",,Silent,"Charles Ogle , Florence Turner",An Unexpected Santa Claus,,,"A trio of ""good-fellows"" call on Gayboy, a boon companion. During the visit, a peddler enters with Christmas decorations for sale. A happy idea occurs to one of the boys. He proposes that th...",tt00000777,,
1.33 : 1,,,,United States,Wallace McCutcheon,,,,"June 2, 1908 (United States)",,Silent,"Anthony O'Sullivan , Edward Dillon , Gene Gauntier",Thompson's Night Out,,,"William Thompson and John Smith occupied offices in the same New York skyscraper, and both being seized with an irrepressible desire to cut loose and paint things crimson, arranged it as fol...",tt00000773,,
1.33 : 1,7.9,,,France,Jean Durand,"Short , Comedy",,,"August 8, 1908 (United States)",,Silent,"Joaquim Renez , Maurice Chevalier",Trop crédules,,,"In this funny picture we see a young man who is possessed with an over amount of admiration for the fair son, and his lack of discretion in forcing his attentions on every woman that he meet...",tt00000775,11,
1.33 : 1,6.5,,,United States,D.W. Griffith,"Short , Comedy",,,"December 5, 1908 (United States)",,Silent,"Mack Sennett , Arthur V. Johnson , Robert Harron",The Valet's Wife,D.W. Griffith,,"Reggie Van Twiller was the typical New York twentieth century young man, who lived his life free and untrammeled by the mesh of the matrimonial net. He resided luxuriously in bachelor apartm...",tt00000778,15,
1.33 : 1,6.2,,,United States,D.W. Griffith,"Action , Short",,,"July 24, 1908 (United States)",7min,Silent,"George Gebhardt , Edward Dillon , Florence Auer",The Tavern Keeper's Daughter,,,"In the lonely wilds of Southern California there stands a rural tavern, kept by an old trapper, who had been widowed years ago; his wife leaving him a most precious legacy in the being of a ...",tt00000771,23,
1.33 : 1,6.2,,,United States,D.W. Griffith,"Drama , Short",,,"December 15, 1908 (United States)",13min,Silent,"Arthur V. Johnson , Florence Lawrence , Harry Solter",The Test of Friendship,D.W. Griffith,,"Edward Ross, a young millionaire, has always been surrounded by host of fawning friends (?) and he made up his mind to test their sincerity. He arranges a dinner at his mansion in which they...",tt00000772,18,
1.33 : 1,,,,Denmark,Viggo Larsen,,None,,"November 6, 1908 (Denmark)",,Silent,"Holger-Madsen , Viggo Larsen , Gustav Lund",Svend Dyrings hus,,,,tt00000768,,
1.33 : 1,5.3,,Not Rated,France,Georges Méliès,,None,,"January 18, 1908 (United States)",6min,Silent,"Suzanne Faes , Manuel , Georges Méliès",Le tambourin fantastique,,1,"We are introduced to the banqueting hall of an old-time castle. Servitors stand awaiting the arrival of their master, who, appearing on the scene, throws his cloak to an attendant; unbucklin...",tt00000769,143,3
1.33 : 1,,,,United States,Van Dyke Brooke,,None,,"October 30, 1908 (United States)",,Silent,,The Stage-Struck Daughter,,,,tt00000766,,
1.33 : 1,5.4,,,United States,D.W. Griffith,"Short , Comedy , Romance",,,"November 10, 1908 (United States)",17min,Silent,"Florence Lawrence , Arthur V. Johnson , Linda Arvidson",The Taming of the Shrew,,1,"Based on Shakespeare's play: Petruchio courts the bad-tempered Katharina, and tries to change her aggressive behavior.",tt00000770,128,3
1.33 : 1,6.1,,,United States,D.W. Griffith,"Drama , Short",,,"September 29, 1908 (United States)",11min,Silent,"Harry Solter , Florence Lawrence , Linda Arvidson",The Stolen Jewels,D.W. Griffith,,It would have taken more than the wonderful powers of deduction of a Sherlock Holmes to have dispelled the mystery that shrouded the disappearance of a case of jewels at the home of Robert J...,tt00000767,18,
1.33 : 1,,,,United States,Wallace McCutcheon,,,,"February 19, 1908 (United States)",,Silent,"Florence Auer , Robert Harron",The Snowman,,,"Jack Frost looked forth one still, clear night, And he said, ""Now I shall be out of sight, so over the valley and over the height in silence I'll make my way."" That season of the year when t...",tt00000763,,
1.33 : 1,5.6,,,United States,D.W. Griffith,"Drama , Short",,,"November 17, 1908 (United States)",11min,Silent,"Florence Lawrence , Linda Arvidson , Robert Harron",The Song of the Shirt,,,"Struggling with poverty and the declining health of a relative, a young woman struggles to find employment.",tt00000764,121,
1.33 : 1,5.2,,,United States,Wallace McCutcheon,"Short , Western",,,"July 10, 1908 (United States)",,Silent,"D.W. Griffith , Edward Dillon , Linda Arvidson",The Stage Rustler,,,"What marvelous influence a pretty girl has over mankind, what a power she exerts, transforming the rough and ferocious into lamb-like beings and the weaklings into lions of daring. Such was ...",tt00000765,15,
,,,,Spain,Fructuós Gelabert,"Documentary , Short , History",None,,,7min,Silent,,"Simulacro de bomberos en la Plaza de Cataluña, de Barcelona",,,,tt00000761,,
1.33 : 1,,,,Denmark,Viggo Larsen,"Short , Drama , Mystery",,,January 1909 (United Kingdom),,Silent,"Viggo Larsen , Julie Henriksen , Holger-Madsen",Sherlock Holmes III,,,,tt00000760,,
1.33 : 1,6.0,,,United States,D.W. Griffith,"Comedy , Short",,,"September 25, 1908 (United States)",8min,Silent,"John R. Cumpson , Florence Lawrence , Linda Arvidson",A Smoked Husband,D.W. Griffith,,"This smokes husband, though little better than a smoked herring, more properly belonging to the crustacean type of piscatory, the lobster, for such he was and no mistake. While our friend Be...",tt00000762,16,
,6.2,,,Denmark,Viggo Larsen,"Short , Mystery",None,,"November 20, 1908 (Denmark)",,Silent,"Otto Detlefsen , Holger-Madsen , Viggo Larsen",Sherlock Holmes i Livsfare,,,,tt00000758,30,
1.33 : 1,,,,United States,Edwin S. Porter,"Short , Fantasy , Sci-Fi",,,"November 13, 1908 (United States)",,Silent,"Florence Auer , William V. Ranous",She,,,"A mysterious metal box is bequeathed to Leo, a young Englishman, to be opened on his twenty-fifth birthday. It is opened in the presence of his guardian, and his servant. They find an Egypti...",tt00000757,,
1.33 : 1,5.5,,,United States,Wallace McCutcheon,"Comedy , Short",,,"May 6, 1908 (United States)",11min,Silent,"Florence Auer , Edward Dillon , D.W. Griffith",The Sculptor's Nightmare,,2,"At a political club, the members debate whose bust will replace that of Theodore Roosevelt. Unable to agree, each goes to a sculptor's studio and bribes him to sculpt a bust of the individua...",tt00000756,113,7
1.33 : 1,7.9,,,Denmark,Viggo Larsen,"Short , Comedy",None,,"January 13, 1909 (United States)",,Silent,"Viggo Larsen , Holger-Madsen",Sherlock Holmes II,,,"Raffles is serving his time. He manages to send a word to his friends and they help him to escape. Once free, Raffles' first thought is to revenge himself on Sherlock Holmes, and for this he...",tt00000759,12,
1.33 : 1,7.2,,,United States,J. Stuart Blackton,"Short , Drama , Romance",,,"June 6, 1908 (United States)",,Silent,"Paul Panzer , Florence Lawrence , John G. Adolfi",Romeo and Juliet,"William Shakespeare , (play)",,Two feuding houses are united with the marriage and eventual death of their children.,tt00000754,59,
1.33 : 1,5.8,,Not Rated,France,Georges Méliès,,None,,March 1908 (United States),4min,Silent,"Mlle. Bodson , (uncredited) , Georges Méliès , (uncredited)",Le rêve d'un fumeur d'opium,,2,"The opium fiend is seen in a den, puffing on this terrible narcotic. He then falls fast asleep and dreams that he is at home with his wife. He asks for something to drink and he is given win...",tt00000755,185,2
1.33 : 1,,,,United States,Wallace McCutcheon,"Short , Comedy",,,"June 5, 1908 (United States)",,Silent,"Edward Dillon , Gene Gauntier",The Romance of an Egg,,,"Mr. Si Green was a prosperous young farmer who felt the need of a wife to share his joys and sorrows and to minister over his lonesome household. Being of a romantic turn of mine, knowing hi...",tt00000753,,
1.33 : 1,5.3,,,United States,D.W. Griffith,"Drama , Short",,,"October 23, 1908 (United States)",10min,Silent,"Florence Lawrence , George Gebhardt , Gladys Egan",Romance of a Jewess,D.W. Griffith,,"This early D.W. Griffith short shows the director's interest in Jewish ghetto life, portrayed here with sympathy and sentimentality. The melodramatic plot involves the conflict between gener...",tt00000752,109,
1.33 : 1,5.7,,Not Rated,United States,J. Searle Dawley,"Action , Short",,,"January 16, 1908 (United States)",8min,Silent,"Miss Earle , Jinnie Frazer , D.W. Griffith",Rescued from an Eagle's Nest,,2,A family is terrified when an eagle carries off its young child.,tt00000749,733,10
1.33 : 1,,,,United States,Francis Boggs,"Drama , Short",,,"February 14, 1910 (United States)",,Silent,"Hobart Bosworth , Betty Harte , Robert Z. Leonard",The Roman,,,,tt00000751,,
1.33 : 1,7.0,,,United States,,"Short , Drama",,,"September 26, 1908 (United States)",,Silent,"William V. Ranous , Florence Auer , Maurice Costello",Richard III,"William Shakespeare , (play)",,"Exterior of the Tower of London. Tressel brings to the dethroned Henry VI the news of the loss of the battle of Tewkesbury and the death of the king's son. ""Now is the winter of our disconte...",tt00000750,15,
